"segStart","segEnd","sigma","lambda"
1,300,0.25,0.001
301,350,2.625,5.00158113883008
351,400,0.25,0.001
401,450,0.25,0.00316227766016838
451,700,NA,NA
701,800,NA,NA
801,850,NA,NA
851,950,NA,NA
951,1050,NA,NA
1051,1100,NA,NA
1101,1200,NA,NA
1201,1250,NA,NA
1251,1350,NA,NA
1351,1400,NA,NA
1401,1450,NA,NA
1451,1650,NA,NA
1651,1700,NA,NA
1701,1950,NA,NA
1951,2050,NA,NA
2051,2200,NA,NA
2201,2300,NA,NA
2301,2350,NA,NA
2351,2450,NA,NA
2451,2650,NA,NA
2651,2950,NA,NA
2951,3100,NA,NA
3101,3200,NA,NA
3201,3250,NA,NA
3251,3400,NA,NA
3401,3450,NA,NA
3451,3500,NA,NA
3501,3550,NA,NA
3551,3750,NA,NA
3751,3950,NA,NA
3951,4050,NA,NA
4051,4150,NA,NA
4151,4300,NA,NA
4301,4400,NA,NA
4401,4450,NA,NA
4451,4600,NA,NA
4601,4650,NA,NA
4651,4700,NA,NA
4701,4750,NA,NA
4751,4800,NA,NA
4801,4900,NA,NA
4901,5200,NA,NA
5201,5250,NA,NA
5251,5335,NA,NA
