Timestamp,HR,BR,Temp,Posture
59:59.4,71,14.3,31.6,86
00:00.4,71,14.1,31.6,86
00:01.4,72,14,31.6,86
00:02.4,73,14.1,31.6,86
00:03.4,75,14.3,31.6,87
00:04.4,77,14.4,31.6,86
00:05.4,78,14.6,31.6,86
00:06.4,78,15.1,31.6,87
00:07.4,79,15.5,31.6,86
00:08.4,79,15.9,31.6,86
00:09.4,79,16.2,31.6,86
00:10.4,79,16.6,31.6,86
00:11.4,77,16.8,31.6,86
00:12.4,75,17.1,31.6,86
00:13.4,73,17.1,31.6,86
00:14.4,74,17.1,31.6,86
00:15.4,73,17.1,31.6,86
00:16.4,74,17.1,31.6,87
00:17.4,76,17,31.6,87
00:18.4,78,16.9,31.6,87
00:19.4,76,16.8,31.6,87
00:20.4,75,16.6,31.6,87
00:21.4,72,16.4,31.6,87
00:22.4,71,16.3,31.6,86
00:23.4,70,16.1,31.6,86
00:24.4,70,16.1,31.6,86
00:25.4,72,16,31.6,86
00:26.4,74,16,31.6,86
00:27.4,75,15.9,31.6,86
00:28.4,77,15.9,31.6,86
00:29.4,79,15.9,31.6,86
00:30.4,79,15.9,31.6,86
00:31.4,79,15.9,31.6,86
00:32.4,78,16,31.6,86
00:33.4,79,16,31.6,86
00:34.4,79,16,31.6,86
00:35.4,78,16,31.6,86
00:36.4,75,15.6,31.6,87
00:37.4,76,15.4,31.6,87
00:38.4,76,15.2,31.6,86
00:39.4,75,15,31.6,86
00:40.4,76,14.9,31.6,87
00:41.4,78,14.9,31.6,87
00:42.4,81,14.9,31.6,86
00:43.4,82,14.8,31.6,86
00:44.4,83,14.8,31.6,86
00:45.4,85,14.8,31.6,86
00:46.4,84,14.8,31.6,86
00:47.4,83,14.7,31.6,86
00:48.4,82,15,31.6,86
00:49.4,81,15.2,31.6,87
00:50.4,81,15.4,31.6,87
00:51.4,80,15.5,31.6,87
00:52.4,77,15.5,31.6,87
00:53.4,77,15.5,31.6,87
00:54.4,78,15.5,31.6,86
00:55.4,80,15.9,31.6,87
00:56.4,80,16.3,31.6,86
00:57.4,83,16.6,31.6,86
00:58.4,85,16.8,31.6,86
00:59.4,86,17,31.6,84
01:00.4,87,17,31.6,84
01:01.4,87,16.8,31.6,84
01:02.4,86,16.7,31.6,84
01:03.4,81,16.6,31.6,86
01:04.4,76,16.3,31.6,86
01:05.4,72,16,31.6,86
01:06.4,72,15.7,31.6,86
01:07.4,73,15.5,31.6,84
01:08.4,75,15.3,31.6,86
01:09.4,75,15.1,31.6,86
01:10.4,75,14.4,31.6,86
01:11.4,76,13.8,31.6,86
01:12.4,75,13.4,31.6,86
01:13.4,76,13,31.6,86
01:14.4,75,13,31.6,86
01:15.4,76,13.2,31.6,86
01:16.4,75,13.3,31.6,86
01:17.4,72,13.5,31.6,86
01:18.4,69,13.9,31.6,86
01:19.4,69,14.2,31.6,86
01:20.4,70,14.4,31.6,86
01:21.4,71,14.6,31.6,86
01:22.4,64,14.7,31.6,86
01:23.4,63,14.7,31.6,86
01:24.4,65,14.6,31.6,86
01:25.4,66,14.6,31.6,86
01:26.4,68,14.6,31.6,86
01:27.4,68,14.7,31.6,86
01:28.4,69,14.7,31.6,86
01:29.4,71,14.7,31.6,86
01:30.4,73,15,31.6,86
01:31.4,74,15.2,31.6,86
01:32.4,74,15.4,31.6,86
01:33.4,71,15.7,31.6,86
01:34.4,70,16.1,31.6,86
01:35.4,70,16.4,31.6,86
01:36.4,71,16.6,31.6,86
01:37.4,74,16.8,31.6,86
01:38.4,78,16.9,31.6,86
01:39.4,83,16.9,31.6,86
01:40.4,84,17,31.6,84
01:41.4,82,17.1,31.6,84
01:42.4,78,17.1,31.6,83
01:43.4,76,17.1,31.6,83
01:44.4,75,17.1,31.6,86
01:45.4,75,16.9,31.6,87
01:46.4,76,16.8,31.6,87
01:47.4,76,16.7,31.6,86
01:48.4,76,16.6,31.6,84
01:49.4,77,16.4,31.6,84
01:50.4,78,16.2,31.6,84
01:51.4,80,16,31.6,84
01:52.4,81,15.9,31.6,84
01:53.4,83,15.8,31.6,84
01:54.4,83,15.7,31.6,84
01:55.4,83,15.7,31.6,84
01:56.4,83,15.7,31.6,84
01:57.4,83,15.7,31.6,84
01:58.4,83,15.7,31.6,84
01:59.4,81,15.7,31.6,84
02:00.4,81,15.6,31.6,84
02:01.4,80,15.6,31.6,84
02:02.4,80,15.6,31.6,84
02:03.4,80,15.5,31.6,84
02:04.4,80,15.5,31.6,84
02:05.4,79,15.5,31.6,84
02:06.4,78,15.5,31.6,84
02:07.4,77,15.4,31.6,84
02:08.4,78,15.2,31.6,84
02:09.4,80,15,31.6,85
02:10.4,81,14.9,31.6,86
02:11.4,81,14.9,31.6,87
02:12.4,82,14.9,31.6,89
02:13.4,80,14.9,31.6,89
02:14.4,77,14.9,31.6,90
02:15.4,74,14.9,31.6,90
02:16.4,71,14.9,31.6,89
02:17.4,68,14.8,31.6,88
02:18.4,67,14.7,31.6,86
02:19.4,67,14.7,31.6,84
02:20.4,68,14.6,31.6,84
02:21.4,69,14.5,31.6,84
02:22.4,69,14.4,31.6,84
02:23.4,69,14.3,31.6,84
02:24.4,70,14.5,31.6,84
02:25.4,70,14.7,31.6,84
02:26.4,70,15,31.6,84
02:27.4,71,15.2,31.6,84
02:28.4,71,15.3,31.6,84
02:29.4,71,15.6,31.6,84
02:30.4,71,15.9,31.6,84
02:31.4,72,16,31.6,84
02:32.4,72,16.4,31.5,84
02:33.4,72,16.6,31.5,84
02:34.4,72,16.8,31.5,86
02:35.4,71,17,31.5,84
02:36.4,71,17.1,31.5,86
02:37.4,71,17,31.5,86
02:38.4,72,16.9,31.5,86
02:39.4,73,16.8,31.5,86
02:40.4,77,16.8,31.5,86
02:41.4,79,16.7,31.5,84
02:42.4,80,16.7,31.5,83
